X,Y,Elevation,Slope Angle,Geography,Rainfall,Rainfall Pattern,Soil Type,Livelihood,Industrial Activity,Pitmine Radius,Pitmine Depth,Risk,Disaster
0,0,47.39836512066895,3.0341620430092187,valley,1721.395495537056,seasonal,sand,medium,high,404.9508577876242,38.64917670713167,0.4603901040013976,landslide
0,1,47.327943239993594,3.0390181179034372,cliff,1328.6903845645552,irregular,clay,low,high,421.04007295221214,27.62819253441159,0.4611286761513151,landslide
0,2,46.98243525830254,3.0837202603714813,hill,1301.6274486841098,uniform,sand,medium,medium,373.0031550658048,54.27997266684174,0.46792753287979066,landslide
0,3,46.19325413360757,3.2070531168228924,valley,1161.4805202247173,uniform,sand,high,medium,377.4533982677197,81.59329220011858,0.48668552465895915,landslide
0,4,44.88879604094759,3.410478224644165,valley,1179.514137670713,uniform,rocky,high,low,360.3981630135717,57.32967563375806,0.5176249402370878,landslide
0,5,43.074809317818676,3.6561378937460827,cliff,1120.9729094641489,uniform,sand,high,medium,246.2683322324844,37.01860776765446,0.5549879121658411,landslide
0,6,40.81639072077175,3.891199176604342,hill,1109.319182375242,seasonal,loam,medium,medium,327.33813656251755,33.51592049563027,0.590738949953514,landslide
0,7,38.22160899317812,4.069107832365485,hill,1359.2601486201447,irregular,sand,medium,low,327.5584065968379,53.641145815014056,0.6177975067584898,rockfall
0,8,35.426755744162655,4.158862616127561,valley,919.2506310628303,uniform,rocky,medium,low,291.9892463999634,45.90385191786994,0.6314485284277507,rockfall
0,9,32.58322363870472,4.146833955717336,plain,877.2318513827221,uniform,rocky,high,high,321.75906661219756,66.3269712552295,0.62961906043697,rockfall
0,10,29.846011898906838,4.036071141828755,valley,863.0414847373868,irregular,sand,high,low,229.75041562119327,11.146782693113476,0.6127728767666996,rockfall
0,11,27.363859116431033,3.8454251899554914,valley,1813.6963643031463,uniform,sand,high,medium,355.23235511293115,66.91426449551186,0.583777073856878,landslide
0,12,25.27100337610299,3.609050508054782,valley,1359.102870501174,irregular,sand,low,low,152.15145008689342,52.76102181341565,0.5478262780391886,landslide
0,13,23.68056969068384,3.3753515643352574,valley,1291.3476605040435,seasonal,clay,medium,high,433.9795401142872,82.03236338179416,0.5122824416988843,landslide
0,14,22.679584746809777,3.202020420140676,cliff,882.7455989119705,uniform,loam,medium,medium,432.9193168499257,35.83719868290945,0.4859200896750605,landslide
0,15,22.325618962099274,3.1418269472554377,hill,1387.0026902024485,irregular,sand,high,high,274.03795738389056,80.62406660942479,0.47676511911791836,landslide
0,16,22.64505585342813,3.2202009059427907,cliff,1165.0285960640015,uniform,loam,high,medium,273.4667381925614,96.06400083706397,0.4886852036360082,landslide
0,17,23.632988716372267,3.4219019616387767,cliff,1264.250682339525,seasonal,rocky,high,low,229.57145863471152,50.84299637834396,0.519362403965715,landslide
0,18,25.25474461581808,3.701734376510254,cliff,907.0139052409331,irregular,loam,high,low,70.5840599643848,42.877794345973726,0.5619227912682827,landslide
0,19,27.44903568774067,4.007025534725465,valley,1248.080657225273,irregular,sand,low,low,114.46927014709468,87.00217898508514,0.6083552602860571,rockfall
0,20,30.13273775214984,4.293154358633623,plain,1072.849938538055,irregular,rocky,high,low,371.51967221094316,31.201513804404065,0.6518732836342543,rockfall
0,21,33.20729623720363,4.529231692212022,hill,970.3166528909437,uniform,sand,high,low,114.23344979249009,75.94795853888674,0.6877788550280073,rockfall
0,22,36.566759414489745,4.698939584232264,plain,1420.2319007421747,irregular,loam,high,medium,235.4202505068425,61.54066072891824,0.713590137884574,rockfall
0,23,40.1074389454746,4.800085951728009,cliff,738.6876574409993,irregular,loam,medium,high,209.40174389400505,48.821592317509605,0.7289737330154094,rockfall
0,24,43.7391977391203,4.844049136066581,cliff,1369.4328792942451,irregular,clay,medium,high,148.7868245583174,27.293339254495898,0.7356601998186322,rockfall
0,25,47.39836512066895,4.836170249052461,plain,1405.3458400658988,seasonal,loam,high,high,287.9780814663186,11.199894480235312,0.7344618808783904,rockfall
0,26,51.011525609912546,4.718215425619786,plain,936.1068973346278,irregular,rocky,medium,high,213.38184166207185,58.45358406096653,0.7165218471199484,rockfall
0,27,54.35798325975024,4.446219732246092,plain,953.9014616602598,irregular,sand,low,low,391.78972533433216,15.213023386163673,0.6751533657024842,rockfall
0,28,57.22722045150627,4.067268296672193,cliff,1133.0922956200793,irregular,loam,low,high,337.5374912507256,19.587467140242616,0.6175177273355112,rockfall
0,29,59.46646743277255,3.657554611267888,cliff,1284.6108631386662,seasonal,sand,low,high,266.24191975849806,64.39740785708806,0.5552033841527232,landslide
0,30,60.976602524322374,3.3003948070158025,hill,1154.1435024557325,irregular,clay,low,medium,308.9649807408618,31.661353308583948,0.5008820875836336,landslide
0,31,61.70783315063151,3.0744952586412397,hill,1330.0687380575637,uniform,sand,medium,medium,244.03057947633332,72.02938545502282,0.4665244801037702,landslide
0,32,61.65515769400748,3.0252233941500415,cliff,1728.8938957612197,irregular,sand,medium,low,402.52463673202817,23.325951756504345,0.45903060332459805,landslide
0,33,60.85360817232653,3.1374428309944866,plain,1047.684969255086,uniform,loam,high,medium,482.1861039704868,16.339278905164186,0.4760983282955211,landslide
